1	11	14	45	2016-03-05
2	6	7	30	2016-03-07
3	14	3	17	2016-03-12
4	3	7	35	2016-03-12
5	8	11	36	2016-03-13
6	6	11	39	2016-03-13
7	10	1	48	2016-03-13
8	6	11	31	2016-03-15
9	13	1	26	2016-03-15
10	5	4	9	2016-03-19
11	3	15	18	2016-03-21
12	4	5	19	2016-03-22
13	3	14	41	2016-03-29
14	10	9	9	2016-03-30
15	14	27	17	2016-03-31
16	1	27	18	2016-03-31
17	13	25	42	2016-04-01
18	15	16	17	2016-04-02
19	15	32	7	2016-04-02
20	6	31	6	2016-04-02
21	12	28	41	2016-04-02
22	1	32	25	2016-04-04
23	5	22	4	2016-04-04
24	4	8	13	2016-04-05
25	5	3	7	2016-04-06
26	13	21	43	2016-04-06
27	14	38	2	2016-04-06
28	8	35	28	2016-04-07
29	1	7	42	2016-04-10
30	9	26	38	2016-04-10
31	4	28	8	2016-04-10
32	8	20	4	2016-04-10
33	14	35	8	2016-04-11
34	4	1	41	2016-04-11
35	2	10	1	2016-04-12
36	7	12	16	2016-04-13
37	5	23	12	2016-04-13
38	9	14	42	2016-04-13
39	2	27	14	2016-04-13
40	10	6	21	2016-04-14
41	15	6	18	2016-04-14
42	5	25	4	2016-04-15
43	14	31	33	2016-04-15
44	5	33	15	2016-04-16
45	12	21	48	2016-04-16
46	13	10	24	2016-04-16
47	5	21	1	2016-04-17
48	14	46	43	2016-04-17
49	14	8	3	2016-04-17
50	12	36	23	2016-04-19
51	1	30	29	2016-04-19
52	15	46	2	2016-04-20
53	15	29	44	2016-04-20
54	6	30	17	2016-04-22
55	6	49	4	2016-04-23
56	12	53	5	2016-04-23
57	5	33	16	2016-04-24
58	10	46	27	2016-04-25
59	7	19	35	2016-04-27
60	1	49	30	2016-04-27
61	4	35	1	2016-04-28
62	8	24	30	2016-04-28
63	8	33	10	2016-04-28
64	3	52	13	2016-04-28
65	10	37	25	2016-04-28
66	15	32	14	2016-04-29
67	13	56	45	2016-04-29
68	15	25	15	2016-04-29
69	13	59	26	2016-04-29
70	2	60	18	2016-04-30
71	10	38	23	2016-04-30
72	1	32	38	2016-04-30
73	10	45	35	2016-04-30
74	4	63	29	2016-05-02
75	12	54	26	2016-05-02
76	10	20	23	2016-05-02
77	4	27	45	2016-05-03
78	15	50	8	2016-05-05
79	3	58	42	2016-05-06
80	12	35	19	2016-05-06
81	1	47	8	2016-05-07
82	14	36	27	2016-05-07
83	12	41	31	2016-05-08
84	1	48	30	2016-05-08
85	7	30	13	2016-05-09
86	8	45	24	2016-05-09
87	8	37	7	2016-05-10
88	1	65	11	2016-05-10
89	11	51	30	2016-05-10
90	4	71	16	2016-05-11
91	14	54	29	2016-05-11
92	6	56	47	2016-05-11
93	15	32	13	2016-05-12
94	12	50	40	2016-05-13
95	15	48	25	2016-05-13
96	4	37	17	2016-05-13
97	4	71	24	2016-05-13
98	15	58	37	2016-05-14
99	1	41	32	2016-05-14
100	10	52	31	2016-05-14
101	10	43	1	2016-05-14
102	8	65	47	2016-05-14
103	5	46	23	2016-05-15
104	2	52	2	2016-05-16
105	10	78	8	2016-05-16
106	15	41	33	2016-05-17
107	10	67	31	2016-05-18
108	3	81	2	2016-05-18
109	7	41	48	2016-05-18
110	9	78	18	2016-05-19
111	9	58	2	2016-05-19
112	12	69	29	2016-05-19
113	7	55	21	2016-05-19
114	12	39	28	2016-05-19
115	1	56	48	2016-05-21
116	4	49	47	2016-05-21
117	8	45	42	2016-05-22
118	1	83	25	2016-05-22
119	2	72	24	2016-05-22
120	10	66	18	2016-05-23
121	2	57	47	2016-05-23
122	3	74	4	2016-05-23
123	4	70	9	2016-05-24
124	2	53	47	2016-05-24
125	6	43	40	2016-05-24
126	13	44	23	2016-05-24
127	8	52	14	2016-05-26
128	1	62	25	2016-05-27
129	5	48	7	2016-05-27
130	6	60	42	2016-05-28
131	2	74	37	2016-05-28
132	7	50	6	2016-05-29
133	3	79	21	2016-05-30
134	8	59	38	2016-05-30
135	13	83	24	2016-06-01
136	13	56	15	2016-06-01
137	1	87	33	2016-06-01
138	13	78	22	2016-06-01
139	3	55	35	2016-06-02
140	11	87	35	2016-06-02
141	12	63	13	2016-06-02
142	9	69	4	2016-06-02
143	6	62	38	2016-06-03
144	2	68	7	2016-06-04
145	14	94	38	2016-06-04
146	6	73	13	2016-06-04
147	2	99	44	2016-06-05
148	7	100	10	2016-06-05
149	10	66	16	2016-06-06
150	5	82	3	2016-06-07
151	11	65	38	2016-06-07
152	1	67	18	2016-06-07
153	12	57	43	2016-06-07
154	11	121	18	2016-06-07
155	6	68	18	2016-06-08
156	4	63	45	2016-06-08
157	14	78	33	2016-06-11
158	14	89	16	2016-06-12
159	2	100	23	2016-06-13
160	6	99	10	2016-06-13
161	4	75	22	2016-06-14
162	12	99	19	2016-06-14
163	5	91	30	2016-06-14
164	3	71	43	2016-06-14
165	7	107	11	2016-06-15
166	5	165	4	2016-06-15
167	11	72	1	2016-06-15
168	6	83	23	2016-06-16
169	3	143	11	2016-06-16
170	9	138	47	2016-06-17
171	8	105	45	2016-06-20
172	14	72	43	2016-06-20
173	12	77	6	2016-06-20
174	7	99	22	2016-06-21
175	1	102	24	2016-06-21
176	2	89	36	2016-06-21
177	9	87	9	2016-06-21
178	6	92	32	2016-06-21
179	9	78	7	2016-06-21
180	4	77	1	2016-06-22
181	10	85	15	2016-06-23
182	6	178	15	2016-06-24
